Initial
1961-1-1

Spa	171.985
Dgw	17.0382
Alf	0.00269484
Dgm	150.758
Soc	0.231087
Wic	0.672371
Mec	0.455453
Grd	0.976572

OK	nan

P	R	RM	BF	B	I	DR	PET	ET	SW	SS	GS	INF	PERC	RC	T	H	WEI
30.9859	29.3901	69.6626	48.8286	NA	20.834	0	0	0	171.985	0	11.3232	30.9859	30.9859	10.1519	-5.00171	NA	1
38.9495	28.1354	32.6419	11.058	NA	21.5839	0	6.84832	6.84832	171.985	0	10.7826	32.1012	32.1012	10.5173	-0.849192	NA	1
81.3564	67.6887	37.5789	10.5299	NA	27.049	0	21.9671	21.9671	171.985	0	32.5929	59.3893	59.3893	32.3403	2.69368	NA	1
52.1722	81.4883	39.1645	31.8293	NA	0	7.33521	51.2898	51.1703	165.652	0	0.763572	44.837	0	0	8.27103	NA	1
92.9709	42.2031	23.4691	0.745684	NA	0.288121	22.4353	62.9555	62.9555	171.985	0	0.976573	70.5355	1.24681	0.958684	7.92849	NA	1
137.686	43.63	52.0409	0.953694	NA	0	51.0872	99.5415	99.0665	159.517	0	0.0228787	86.5986	0	0	14.5801	NA	1
60.7788	22.3292	9.25559	0.0223427	NA	0	9.23325	90.0224	83.5228	127.54	0	0.000535993	51.5455	0	0	12.837	NA	1
63.8474	21.1557	8.14712	0.000523436	NA	0	8.14659	79.523	72.1979	111.043	0	1.2557e-005	55.7008	0	0	13.5082	NA	1
34.9534	17.0446	2.12577	1.22629e-005	NA	0	2.12576	57.1534	47.4735	96.3974	0	2.94181e-007	32.8277	0	0	13.3516	NA	1
73.7702	24.0514	8.21995	2.87289e-007	NA	0	8.21995	28.0654	28.0654	133.882	0	6.89195e-009	65.5502	0	0	8.30558	NA	1
56.9193	29.3064	7.87728	6.73048e-009	NA	1.08079	6.79649	7.34277	7.34277	171.985	0	3.59619	50.1228	4.67699	3.59619	0.849822	NA	1
48.4076	44.2106	33.2142	3.51194	NA	29.7023	0	0	0	171.985	4.23213	14.5574	44.1755	44.1755	14.4732	-5.40727	NA	1
75.826	31.3214	66.5891	14.2164	NA	52.3727	0	2.16554	2.16554	171.985	0	25.8609	77.8926	77.8926	25.5199	-3.13513	NA	1
94.2397	30.9154	66.6152	25.2551	NA	41.3601	0	1.007	1.007	171.985	31.7188	20.7596	61.5139	61.5139	20.1537	-4.38965	NA	1
60.4753	46.6758	73.977	20.2732	NA	53.7038	0	4.81914	4.81914	171.985	7.50272	26.6548	79.8723	79.8723	26.1685	-3.31216	NA	1
34.3162	201.986	26.0304	26.0304	NA	0	0	45.9673	41.8189	171.985	0	0.624458	0	0	0	6.89385	NA	1
141.718	147.123	60.9185	0.609829	NA	6.18551	54.1232	60.8278	60.8278	171.985	0	20.5961	87.5948	26.7669	20.5814	7.49156	NA	1
47.776	50.9074	26.2647	20.1136	NA	0	6.15111	85.2615	80.1657	133.445	0	0.482516	41.6249	0	0	11.7711	NA	1
49.445	28.0837	5.58318	0.471212	NA	0	5.11196	92.1604	76.7296	101.048	0	0.0113042	44.333	0	0	13.2606	NA	1
45.4395	17.1085	3.2802	0.0110394	NA	0	3.26917	83.8181	63.9026	79.3158	0	0.00026483	42.1703	0	0	14.5079	NA	1
59.4683	18.811	4.3954	0.000258625	NA	0	4.39514	46.0826	46.0826	88.3064	0	6.20432e-006	55.0731	0	0	9.79683	NA	1
33.3224	15.0616	1.53642	6.05897e-006	NA	0	1.53641	24.1463	24.1463	95.9461	0	1.45352e-007	31.786	0	0	6.44757	NA	1
68.3821	23.3428	7.02998	1.41947e-007	NA	0	7.02998	7.5348	7.5348	149.763	0	3.40525e-009	61.3521	0	0	1.00281	NA	1
65.634	14.4662	3.32547e-009	3.32547e-009	NA	0	0	0	0	164.668	50.7295	7.97768e-011	14.9044	0	0	-7.12523	NA	1
62.6488	13.0541	7.79078e-011	7.79078e-011	NA	0	0	0	0	164.668	113.378	1.86898e-012	0	0	0	-10.4841	NA	1
31.0769	9.15211	1.82519e-012	1.82519e-012	NA	0	0	0	0	171.005	138.118	4.37856e-014	6.33699	0	0	-7.62807	NA	1
38.7143	22.7179	71.9023	4.27598e-014	NA	71.9023	0	9.51913	9.51913	171.985	59.3945	35.0361	107.919	106.938	35.0361	-1.66606	NA	1
22.5386	79.1658	51.7515	34.2153	NA	17.5362	0	43.4303	43.4303	171.985	0	21.7874	38.5028	38.5028	20.9666	6.23741	NA	1
161.427	76.5629	95.6698	21.277	NA	4.16886	70.224	73.1628	73.1628	171.985	0	14.3817	91.2029	18.0402	13.8713	10.0247	NA	1
124.457	43.2954	55.787	14.0448	NA	0	41.7422	96.5304	95.9901	158.71	0	0.33693	82.7152	0	0	13.9878	NA	1
45.1607	23.237	5.40092	0.329036	NA	0	5.07188	106.26	90.7778	108.021	0	0.00789345	40.0888	0	0	16.0544	NA	1
128.977	14.1538	28.164	0.00770852	NA	0	28.1563	83.577	83.577	125.265	0	0.000184924	100.821	0	0	14.4518	NA	1
107.815	20.9441	22.8158	0.000180592	NA	0	22.8156	53.1267	53.1267	157.138	0	4.33233e-006	84.9996	0	0	12.0587	NA	1
47.9714	29.4393	6.77011	4.23083e-006	NA	1.10396	5.66614	22.6806	22.6806	171.985	0	3.67328	42.3052	4.77724	3.67328	5.75269	NA	1
120.788	46.2526	58.7627	3.58722	NA	15.8587	39.3168	12.8443	12.8443	171.985	0	52.8538	81.4708	68.6265	52.7678	5.23275	NA	1
14.886	29.1564	61.4044	51.6156	NA	9.78875	0	0	0	171.985	0.327471	6.00805	14.5586	14.5586	4.76981	-7.14553	NA	1
18.8062	15.4503	14.2097	5.86729	NA	8.34242	0	0	0	171.985	6.72621	4.2058	12.4075	12.4075	4.06505	-7.27178	NA	1
60.189	18.8086	45.8178	4.10727	NA	41.7105	0	1.10253	1.10253	171.985	3.7777	20.423	62.0349	62.0349	20.3245	-4.35907	NA	1
38.866	29.3261	45.522	19.9445	NA	25.5775	0	4.60304	4.60304	171.985	0	12.9417	38.0407	38.0407	12.4632	-3.40465	NA	1
45.5002	50.8828	14.1046	12.6385	NA	1.46613	0	42.2811	42.2811	171.985	0	2.05612	3.21906	3.21906	1.75293	5.8731	NA	1
56.8169	34.4484	10.7073	2.00795	NA	0	8.69938	76.5249	74.3029	145.8	0	0.04817	48.1175	0	0	10.6717	NA	1
157.873	26.423	56.9866	0.0470415	NA	0	56.9395	103.886	103.415	143.318	0	0.00112851	100.933	0	0	15.4282	NA	1
63.3657	26.7872	9.01788	0.00110207	NA	0	9.01678	102.666	89.4509	108.216	0	2.64382e-005	54.3489	0	0	15.3718	NA	1
152.139	34.7239	39.248	2.58188e-005	NA	0	39.248	76.8632	76.8632	144.244	0	6.19383e-007	112.891	0	0	12.9378	NA	1
50.6853	20.5947	5.80638	6.04872e-007	NA	0	5.80638	48.6799	48.0319	141.091	0	1.45106e-008	44.879	0	0	10.6844	NA	1
104.546	52.7428	30.7642	1.41707e-008	NA	6.60103	24.1632	20.9234	20.9234	171.985	0	21.964	80.3824	28.5651	21.964	4.9523	NA	1
118.633	78.5753	76.1261	21.4495	NA	16.7499	37.9267	8.22351	8.22351	171.985	0	56.2476	80.7064	72.4829	55.733	1.56408	NA	1
47.7343	64.4732	85.9386	54.9298	NA	31.0088	0	1.61566	1.61566	171.985	0	16.4276	46.1186	46.1186	15.1098	-3.3318	NA	1
85.2784	27.5892	71.6332	16.0427	NA	55.5905	0	2.60007	2.60007	171.985	0	27.4727	82.6784	82.6784	27.0878	-2.76094	NA	1
83.9698	19.1112	36.6309	26.8291	NA	9.80186	0	0	0	171.985	69.3918	5.41981	14.5781	14.5781	4.7762	-7.14439	NA	1
39.6379	71.3865	71.442	5.29284	NA	66.1492	0	10.6477	10.6477	171.985	0	32.3598	98.382	98.382	32.2328	-1.27078	NA	1
92.4531	144.736	57.8677	31.6017	NA	26.266	0	34.7829	34.7829	171.985	0	32.1622	57.6702	57.6702	31.4041	3.99994	NA	1
161.856	145.917	108.645	31.4088	NA	6.63922	70.5974	62.5278	62.5278	171.985	0	22.8446	91.2581	28.7303	22.0911	7.84067	NA	1
146.412	129.945	80.0772	22.3094	NA	0	57.7679	90.8683	90.854	169.775	0	0.535193	88.644	0	0	12.874	NA	1
107.963	49.2886	31.5302	0.522655	NA	0	31.0076	93.3854	92.4237	154.307	0	0.0125383	76.9556	0	0	13.5034	NA	1
63.7203	27.7885	9.82938	0.0122445	NA	0	9.81713	76.8109	73.1463	135.064	0	0.000293742	53.9032	0	0	12.877	NA	1
83.4331	22.7966	14.7322	0.00028686	NA	0	14.7319	51.9388	51.9388	151.827	0	6.88166e-006	68.7012	0	0	11.6772	NA	1
10.5922	23.146	0.266917	6.72044e-006	NA	0	0.26691	23.6558	21.6488	140.503	0	1.61221e-007	10.3253	0	0	6.21503	NA	1
58.0383	19.992	15.4872	1.57444e-007	NA	15.4872	0	3.52231	3.52231	171.985	0	7.54652	54.516	23.0337	7.54652	-2.19386	NA	1
125.571	35.1225	76.8889	7.36973	NA	69.5192	0	2.9724	2.9724	171.985	19.2042	34.0517	103.394	103.394	33.8749	-1.93163	NA	1
63.7222	38.5422	39.5906	33.254	NA	6.33667	0	0	0	171.985	73.5021	3.88544	9.42436	9.42436	3.0877	-7.44687	NA	1
83.7479	105.19	70.1926	3.79442	NA	66.3982	0	11.4649	11.4649	171.985	0	79.4779	145.785	145.785	79.3869	1.94896	NA	1
101.665	73.1382	136.775	77.6159	NA	59.1588	0	13.6794	13.6794	171.985	0	30.6885	87.9853	87.9853	28.8265	-0.208993	NA	1
47.7116	91.3883	31.4819	29.9696	NA	1.51238	0	44.3909	44.3909	171.985	0	2.52718	3.3206	3.3206	1.80823	6.48597	NA	1
62.9712	52.1572	13.154	2.46798	NA	0	10.6861	73.5969	72.3294	151.941	0	0.0592058	52.2851	0	0	10.1138	NA	1
159.57	38.493	60.6785	0.0578187	NA	0	60.6207	98.1858	98.1858	152.705	0	0.00138705	98.9495	0	0	14.3134	NA	1
187.797	98.0752	84.3873	0.00135455	NA	0	84.3859	95.2254	95.2254	160.89	0	3.24952e-005	103.411	0	0	13.8679	NA	1
157.499	78.4056	63.643	3.17339e-005	NA	1.10735	62.5357	79.0763	79.0763	171.985	0	3.68454	94.9635	4.79189	3.68454	13.4043	NA	1
49.5417	55.0111	10.2124	3.59822	NA	0	6.61418	47.782	47.7142	167.199	0	0.0863199	42.9275	0	0	10.3425	NA	1
56.5703	33.1001	11.2705	0.0842977	NA	2.80213	8.38403	31.2739	31.2739	171.985	0	9.32573	48.1863	12.1258	9.3237	9.82671	NA	1
72.71	36.3821	53.8656	9.10725	NA	44.7584	0	6.14202	6.14202	171.985	0	22.0281	66.568	66.568	21.8096	-0.106787	NA	1
171.418	45.1554	83.9983	21.512	NA	62.4863	0	2.3777	2.3777	171.985	76.106	30.964	92.9343	92.9343	30.448	-2.54553	NA	1
89.5552	35.7966	64.7393	30.2386	NA	34.5007	0	0.0134534	0.0134534	171.985	114.336	17.5367	51.312	51.312	16.8113	-4.98841	NA	1
88.3319	69.7012	87.7213	17.1259	NA	70.5955	0	5.21744	5.21744	171.985	92.4553	34.8102	104.995	104.995	34.3994	-1.83768	NA	1
98.3172	151.674	112.418	33.9947	NA	78.4232	0	18.5852	18.5852	171.985	0	94.5797	172.187	172.187	93.7642	1.50919	NA	1
65.3874	161.048	108.399	92.3639	NA	4.51298	11.5218	34.3363	34.3363	171.985	0	17.2321	53.8656	19.5293	15.0163	3.88436	NA	1
146.224	147.59	77.5163	16.8284	NA	3.06812	57.6198	75.3275	75.3275	171.985	0	10.6124	88.6044	13.2769	10.2087	10.4692	NA	1
75.6193	58.8614	25.7737	10.3638	NA	0	15.4099	90.196	87.7274	144.467	0	0.248624	60.2094	0	0	12.7418	NA	1
119.375	42.4023	32.5007	0.242799	NA	0	32.2579	106.498	102.513	129.071	0	0.00582466	87.1168	0	0	16.1015	NA	1
117.086	30.8097	27.7311	0.0056882	NA	0	27.7254	81.9442	81.9442	136.487	0	0.000136458	89.3602	0	0	14.0718	NA	1
128.222	56.3273	35.938	0.000133261	NA	0.777026	35.1608	54.2005	54.2005	171.985	0	2.58545	93.0612	3.36248	2.58545	12.4034	NA	1
69.0591	34.3918	21.6243	2.52488	NA	6.24726	12.8522	29.1728	29.1728	171.985	0	20.8475	56.207	27.0342	20.7869	8.83061	NA	1
63.6805	37.0046	41.636	20.3591	NA	10.3487	10.9282	7.96972	7.96972	171.985	0	34.9223	52.7524	44.7826	34.4339	1.34931	NA	1
125.231	43.6448	81.295	34.1042	NA	47.1908	0	1.08431	1.08431	171.985	53.9612	23.813	70.1857	70.1857	22.9949	-3.88068	NA	1
121.668	50.5827	48.9631	23.2551	NA	25.708	0	0	0	171.985	137.394	13.0847	38.2348	38.2348	12.5268	-5.75593	NA	1
50.949	38.1707	76.7216	12.7782	NA	63.9434	0	4.44096	4.44096	171.985	88.8006	31.4645	95.1014	95.1014	31.158	-2.41834	NA	1
